City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
195,Westport,US,83.75,broken clouds,41.1415,-73.3579,The Westport Inn
197,Butaritari,KI,82.62,few clouds,3.0707,172.7902,Isles Sunset Lodge
199,Tura,IN,74.01,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
201,Yenagoa,NG,75.42,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
202,Chisinau,MD,75.92,clear sky,47.0056,28.8575,Cosmos Hotel
203,Sault Sainte Marie,CA,80.89,haze,46.5168,-84.3333,Comfort Inn
204,Canton,CN,84.15,overcast clouds,23.1167,113.25,Guangzhou Hotel
205,Santa Luzia,BR,83.3,clear sky,-19.7697,-43.8514,Pousada Chao Earth
211,Douala,CM,78.71,scattered clouds,4.0483,9.7043,Hôtel Prince De Galles Douala
215,Labuhan,ID,73.8,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
216,Banda Aceh,ID,79.93,few clouds,5.5577,95.3222,Sulthan Hotel International
222,Progreso,MX,77.11,broken clouds,21.2833,-89.6667,Playa Linda Hotel
224,Naraini,IN,78.31,moderate rain,25.1833,80.4833,Chhedilal Tea Stall
225,Shimoda,JP,75.11,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
226,Kalmunai,LK,80.74,broken clouds,7.4167,81.8167,VS Villa
227,Isangel,VU,73.29,clear sky,-19.55,169.2667,Tanna Lodge
228,Lingao,CN,82.04,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
230,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
232,Alofi,NU,73.29,broken clouds,-19.0595,-169.9187,Taloa Heights
237,Dhidhdhoo,MV,82.42,light rain,6.8833,73.1,Dhidhoo beach
238,Grand Gaube,MU,70.38,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
243,Samur,RU,70.9,overcast clouds,41.8253,48.486,Samur
245,Lantawan,PH,80.29,broken clouds,10.6167,123.9833,Durano Ecofarm and Spring Resort
247,Tabou,CI,76.14,overcast clouds,4.423,-7.3528,hotêl doufoulougou
251,Mabaruma,GY,81.21,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
252,Victoria,HK,84.96,overcast clouds,22.2855,114.1577,Mini Hotel Central
255,Kavarna,BG,76.57,clear sky,43.4333,28.3333,Вила Алегра (Villa Allegra)
260,Sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
264,Nabire,ID,76.86,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
265,Vanimo,PG,76.93,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
268,Poum,NC,72.52,overcast clouds,-20.2333,164.0167,Gîte kajeon
271,Zavallya,UA,75.65,clear sky,48.2135,30.0156,"Отель, бар."
273,Nador,MA,77.07,clear sky,35.174,-2.9287,Hôtel La Giralda
275,Mogadishu,SO,76.17,light rain,2.0371,45.3438,Hotel Juba
276,Manitouwadge,CA,70.52,broken clouds,49.1215,-85.8403,Select Inn
280,Qidong,CN,82.04,broken clouds,31.8128,121.6561,Hilton Garden Inn Qidong
283,Tukrah,LY,79.36,clear sky,32.5341,20.5791,Lokta restaurant
290,Kahului,US,83.46,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
293,El Alto,PE,74.86,few clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
295,Praia Da Vitoria,PT,76.75,broken clouds,38.7333,-27.0667,Hotel Branco I
301,Eydhafushi,MV,82.27,overcast clouds,5.1033,73.0708,Soneva Fushi
305,Porto Novo,BJ,76.82,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
307,Takoradi,GH,75.92,broken clouds,4.8845,-1.7554,Raybow International Hotel
316,Teluknaga,ID,79.63,mist,-6.0989,106.6381,Bale Ocasa hotel
318,Camacha,PT,70.56,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
329,Palmer,US,80.47,broken clouds,42.1584,-72.3287,Wedgewood Motel
330,Oliveira Dos Brejinhos,BR,79.63,clear sky,-12.3169,-42.8961,Hotel Paraiso
331,Mana,GF,79.97,broken clouds,5.6592,-53.7767,LE SAMANA
332,Moerai,PF,72.0,few clouds,-22.4333,-151.3333,Le Manotel
335,Kokopo,PG,74.66,moderate rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
337,Marystown,CA,70.86,overcast clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
340,Natal,BR,81.25,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
341,Toma,BF,80.2,broken clouds,12.7667,-2.8833,Auberge de l'amitié
345,Benguela,AO,70.18,broken clouds,-12.5763,13.4055,Hotel Praia Morena
349,Harper,LR,76.5,overcast clouds,4.375,-7.7169,Screensaver
355,Barpali,IN,75.31,moderate rain,21.2,83.5833,GREEN HOUSE LODGE
358,Mangrol,IN,81.72,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
374,Brazzaville,CG,77.31,scattered clouds,-4.2658,15.2832,Hotel Muesse
378,Phan Thiet,VN,77.7,overcast clouds,10.9333,108.1,Hotel Saigon-PT
381,Rajura,IN,77.47,moderate rain,19.7833,79.3667,Bharat Lodge
382,Ponta Delgada,PT,72.32,few clouds,37.7333,-25.6667,Vila Nova Hotel
383,Trairi,BR,78.6,clear sky,-3.2778,-39.2689,janelas do mar
384,Enumclaw,US,84.9,broken clouds,47.2043,-121.9915,Cedars Inn
385,Asau,RO,71.76,light rain,46.4333,26.4,Casa Mika Ciobanus
389,Itoman,JP,80.62,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
390,Fort Nelson,CA,74.79,scattered clouds,58.8053,-122.7002,The Fort Nelson Hotel
397,Kalach-Na-Donu,RU,74.52,overcast clouds,48.691,43.5264,Hotel Laguna
399,Pundaguitan,PH,83.91,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
400,Ciechocinek,PL,72.55,overcast clouds,52.8791,18.7951,Pałac Łazienki II w Ciechocinku
403,Kupang,ID,74.17,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
404,Leon,MX,82.15,broken clouds,21.1167,-101.6667,Hotel Misión León
405,Kulhudhuffushi,MV,82.44,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
